id,business_name,city,service_needed,lead_tier,lead_score,phone,email,website,website_status,source,decision_maker,ai_recommendation,industry_context,status,created_at
81,JW Marriott Pune,Pune,Digital Marketing,HOT,92.0,,mhrs.pnqjw.reservations@marriotthotels.com,https://www.marriott.com,Live,Google Maps,Marketing Head,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hotels in Pune. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
89,ITC Maurya Delhi,Delhi NCR,Digital Marketing,HOT,92.0,,itcmaurya@itchotels.in,https://www.itchotels.com,Live,Google Maps,Founder,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hotels in Delhi NCR. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
35,Omaxe Limited,Delhi NCR,SEO Services,HOT,91.0,,info@omaxe.com,https://omaxe.com,Live,Google Maps,Marketing Head,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Real Estate in Delhi NCR. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:31
51,MTR Restaurant Bangalore,Bangalore,Website Development,HOT,91.0,+918022220222,feedback@mtrfoods.com,https://www.mtrfoods.com,Live,Google Maps,Founder,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Restaurants in Bangalore. Source: Google Maps. Service needed: Website Development.,New,2026-05-17 08:28:32
55,Vohuman Cafe,Pune,Website Development,HOT,91.0,,info@vohuman.com,https://vohuman.com,Live,Google Maps,Founder,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Restaurants in Pune. Source: Google Maps. Service needed: Website Development.,New,2026-05-17 08:28:32
65,360 Degree Fitness Hyderabad,Hyderabad,SEO Services,HOT,91.0,+919000551360,info@360fitnesshyd.com,https://360fitnesshyd.com,Live,Google Maps,Owner,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Gyms in Hyderabad. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:32
66,FitRanger Pune,Pune,SEO Services,HOT,91.0,+918010811198,info@fitranger.com,https://www.fitranger.com,Live,Google Maps,Founder,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Gyms in Pune. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:32
67,Gold's Gym Ahmedabad,Ahmedabad,SEO Services,HOT,91.0,+917940444444,ahmedabad@goldsgym.in,https://www.goldsgym.in,Live,JustDial,CEO,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Gyms in Ahmedabad. Source: JustDial. Service needed: SEO Services.,New,2026-05-17 08:28:32
73,YLG Salon Bangalore,Bangalore,Website Development,HOT,91.0,+918069376767,care@ylgindia.com,https://ylgindia.com,Live,Google Maps,Founder,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Salons in Bangalore. Source: Google Maps. Service needed: Website Development.,New,2026-05-17 08:28:32
77,Lakme Salon Ahmedabad,Ahmedabad,Website Development,HOT,91.0,+917940123456,ahmedabad@lakmesalon.in,https://www.lakmesalon.in,Live,JustDial,Marketing Head,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Salons in Ahmedabad. Source: JustDial. Service needed: Website Development.,New,2026-05-17 08:28:33
78,The Park Hyderabad,Hyderabad,Digital Marketing,HOT,91.0,,hyderabad@theparkhotels.com,https://www.theparkhotels.com,Live,Google Maps,CEO,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hotels in Hyderabad. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
92,Oberoi Hotel Bangalore,Bangalore,Digital Marketing,HOT,91.0,+918025585858,res.bangalore@oberoihotels.com,https://www.oberoihotels.com,Live,JustDial,Marketing Head,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hotels in Bangalore. Source: JustDial. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
99,MIT Vishwashanti Gurukul Pune,Pune,Digital Marketing,HOT,91.0,+917897894804,admissions@mitgurukul.com,https://mitgurukul.com,Live,JustDial,Owner,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Schools in Pune. Source: JustDial. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
18,Sterling Hospital Ahmedabad,Ahmedabad,Digital Marketing,HOT,90.0,+917940011000,info@sterlinghospitals.com,https://www.sterlinghospitals.com,Live,Google Maps,Director,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hospitals in Ahmedabad. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:30
32,Rustomjee Developers,Mumbai,SEO Services,HOT,90.0,,sales@rustomjee.com,https://rustomjee.com,Live,JustDial,Owner,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Real Estate in Mumbai. Source: JustDial. Service needed: SEO Services.,New,2026-05-17 08:28:31
37,Brigade Group,Bangalore,SEO Services,HOT,90.0,+918042941000,info@brigadegroup.com,https://www.brigadegroup.com,Live,JustDial,Owner,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Real Estate in Bangalore. Source: JustDial. Service needed: SEO Services.,New,2026-05-17 08:28:31
57,Agashiye Ahmedabad,Ahmedabad,Website Development,HOT,90.0,+917925506946,reservations@hotelhouses.com,https://www.hotelhouseofmg.com,Live,Google Maps,Director,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Restaurants in Ahmedabad. Source: Google Maps. Service needed: Website Development.,New,2026-05-17 08:28:32
71,Geetanjali Salon Delhi,Delhi NCR,Website Development,HOT,90.0,,info@geetanjalisalon.com,https://geetanjalisalon.com,Live,Google Maps,Marketing Head,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Salons in Delhi NCR. Source: Google Maps. Service needed: Website Development.,New,2026-05-17 08:28:32
75,Jawed Habib Hyderabad,Hyderabad,Website Development,HOT,90.0,,info@jawedhabib.co.in,https://jawedhabib.co.in,Live,Google Maps,Owner,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Salons in Hyderabad. Source: Google Maps. Service needed: Website Development.,New,2026-05-17 08:28:32
76,Looks Salon Pune,Pune,Website Development,HOT,90.0,,info@lookssalon.in,https://lookssalon.in,Live,Google Maps,Owner,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Salons in Pune. Source: Google Maps. Service needed: Website Development.,New,2026-05-17 08:28:33
82,Conrad Pune,Pune,Digital Marketing,HOT,90.0,,conradpune@conradhotels.com,https://www.hilton.com,Live,Google Maps,CEO,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hotels in Pune. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
86,ITC Narmada Ahmedabad,Ahmedabad,Digital Marketing,HOT,90.0,+917971001111,itcnarmada@itchotels.in,https://www.itchotels.com,Live,JustDial,CEO,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hotels in Ahmedabad. Source: JustDial. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
94,Delhi Public School Bangalore,Bangalore,Digital Marketing,HOT,90.0,+918028399900,principal@dpsnorth.com,https://dpsnorth.com,Live,Google Maps,Founder,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Schools in Bangalore. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
101,Udgam School Ahmedabad,Ahmedabad,Digital Marketing,HOT,90.0,+917926858585,info@udgamschool.com,https://udgamschool.com,Live,JustDial,Founder,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Schools in Ahmedabad. Source: JustDial. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
104,Narayana Schools Delhi,Delhi NCR,Digital Marketing,HOT,90.0,18001023344,info@narayanaschools.in,https://narayanaschools.in,Live,JustDial,Director,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Schools in Delhi NCR. Source: JustDial. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
1,Kokilaben Dhirubhai Ambani Hospital,Mumbai,Digital Marketing,HOT,89.0,,info@kokilabenhospital.com,https://www.kokilabenhospital.com,Live,Google Maps,Marketing Head,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hospitals in Mumbai. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:29
7,Indraprastha Apollo Hospital,Delhi NCR,Digital Marketing,HOT,89.0,18605001066,feedback@apollohospitals.com,https://www.apollohospitals.com,Live,Google Maps,Owner,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hospitals in Delhi NCR. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:30
24,32 Smile Stone Dental Clinic,Delhi NCR,SEO Services,HOT,89.0,+919810303387,contact@newdelhidentistindia.com,https://newdelhidentistindia.com,Live,JustDial,CEO,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Clinics in Delhi NCR. Source: JustDial. Service needed: SEO Services.,New,2026-05-17 08:28:30
29,Dantam Clinics,Hyderabad,SEO Services,HOT,89.0,,info@dantamclinics.com,https://dantamclinics.com,Live,Google Maps,Owner,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Clinics in Hyderabad. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:31
40,Aparna Constructions,Hyderabad,SEO Services,HOT,89.0,,info@aparnaconstructions.com,https://aparnaconstructions.com,Live,JustDial,Director,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Real Estate in Hyderabad. Source: JustDial. Service needed: SEO Services.,New,2026-05-17 08:28:31
59,Gold's Gym Mumbai,Mumbai,SEO Services,HOT,89.0,,info@goldsgym.in,https://www.goldsgym.in,Live,JustDial,Founder,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Gyms in Mumbai. Source: JustDial. Service needed: SEO Services.,New,2026-05-17 08:28:32
70,Enrich Salon Mumbai,Mumbai,Website Development,HOT,89.0,,feedback@enrichbeauty.com,https://enrichbeauty.com,Live,Google Maps,Founder,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Salons in Mumbai. Source: Google Maps. Service needed: Website Development.,New,2026-05-17 08:28:32
93,Harrow International School Bangalore,Bangalore,Digital Marketing,HOT,89.0,+918035274300,admissions@harrowbengaluru.in,https://harrowbengaluru.in,Live,Google Maps,CEO,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Schools in Bangalore. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
4,Lilavati Hospital & Research Centre,Mumbai,Digital Marketing,HOT,88.0,,contact@lilavatihospital.com,https://www.lilavatihospital.com,Live,JustDial,Owner,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hospitals in Mumbai. Source: JustDial. Service needed: Digital Marketing.,New,2026-05-17 08:28:29
6,Sir Ganga Ram Hospital,Delhi NCR,Digital Marketing,HOT,88.0,,info@sgrh.com,https://sgrh.com,Live,Google Maps,CEO,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hospitals in Delhi NCR. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:30
13,Fortis Hospital Bangalore,Bangalore,Digital Marketing,HOT,88.0,+918066214444,fortis.bangalore@fortishealthcare.com,https://www.fortishealthcare.com,Live,JustDial,Marketing Head,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hospitals in Bangalore. Source: JustDial. Service needed: Digital Marketing.,New,2026-05-17 08:28:30
17,Ruby Hall Clinic,Pune,Digital Marketing,HOT,88.0,,info@rubyhall.com,https://www.rubyhall.com,Live,Google Maps,Founder,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hospitals in Pune. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:30
25,Stunning Dentistry,Delhi NCR,SEO Services,HOT,88.0,+917676602626,info@stunningdentistry.com,https://stunningdentistry.com,Live,Google Maps,Owner,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Clinics in Delhi NCR. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:31
28,FMS Dental Hospitals,Hyderabad,SEO Services,HOT,88.0,+918885060780,info@fmsdental.com,https://fmsdental.com,Live,Google Maps,Director,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Clinics in Hyderabad. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:31
41,Kolte-Patil Developers,Pune,SEO Services,HOT,88.0,,info@koltepatil.com,https://www.koltepatil.com,Live,Google Maps,CEO,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Real Estate in Pune. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:31
43,Adani Realty Ahmedabad,Ahmedabad,SEO Services,HOT,88.0,+917925560000,info@adanirealty.com,https://www.adanirealty.com,Live,Google Maps,Founder,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Real Estate in Ahmedabad. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:31
48,Bukhara ITC Maurya,Delhi NCR,Website Development,HOT,88.0,,itcmaurya@itchotels.in,https://www.itchotels.com,Live,Google Maps,CEO,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Restaurants in Delhi NCR. Source: Google Maps. Service needed: Website Development.,New,2026-05-17 08:28:32
53,Paradise Biryani Hyderabad,Hyderabad,Website Development,HOT,88.0,,info@paradisefoodcourt.in,https://www.paradisefoodcourt.in,Live,Google Maps,Marketing Head,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Restaurants in Hyderabad. Source: Google Maps. Service needed: Website Development.,New,2026-05-17 08:28:32
84,Taj Skyline Ahmedabad,Ahmedabad,Digital Marketing,HOT,88.0,+917940400000,taj.ahmedabad@tajhotels.com,https://www.tajhotels.com,Live,Google Maps,Founder,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hotels in Ahmedabad. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
95,The Hyderabad Public School,Hyderabad,Digital Marketing,HOT,88.0,,contactus@hpsbegumpet.org.in,https://hpsbegumpet.org.in,Live,Google Maps,Owner,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Schools in Hyderabad. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
105,Ryan International School Mumbai,Mumbai,Digital Marketing,HOT,88.0,,info@ryangroup.org,https://ryangroup.org,Live,Google Maps,Founder,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Schools in Mumbai. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
14,Apollo Hospital Hyderabad,Hyderabad,Digital Marketing,HOT,87.0,,info.hyd@apollohospitals.com,https://www.apollohospitals.com,Live,Google Maps,Owner,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hospitals in Hyderabad. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:30
21,Dazzle Dental Clinic,Mumbai,SEO Services,HOT,87.0,,hello@dazzle.dental,https://dazzle.dental,Live,JustDial,Owner,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Clinics in Mumbai. Source: JustDial. Service needed: SEO Services.,New,2026-05-17 08:28:30
23,Dr Khanna Dental Clinic,Delhi NCR,SEO Services,HOT,87.0,+919871211748,info@drkhannasdentalclinic.com,https://drkhannasdentalclinic.com,Live,Google Maps,CEO,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Clinics in Delhi NCR. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:30
38,Sobha Limited,Bangalore,SEO Services,HOT,87.0,+918043153000,marketing@sobha.com,https://www.sobha.com,Live,Google Maps,Director,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Real Estate in Bangalore. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:31
44,Shivalik Group Ahmedabad,Ahmedabad,SEO Services,HOT,87.0,+917940089999,sales@shivalikgroup.in,https://www.shivalikgroup.in,Live,JustDial,Owner,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Real Estate in Ahmedabad. Source: JustDial. Service needed: SEO Services.,New,2026-05-17 08:28:32
45,Shamiana at Taj Mahal Palace,Mumbai,Website Development,HOT,87.0,,tmh.bom@tajhotels.com,https://www.tajhotels.com,Live,Google Maps,Owner,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Restaurants in Mumbai. Source: Google Maps. Service needed: Website Development.,New,2026-05-17 08:28:32
60,Nitrro Wellness Mumbai,Mumbai,SEO Services,HOT,87.0,,hello@nitrro.in,https://www.nitrro.in,Live,Google Maps,CEO,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Gyms in Mumbai. Source: Google Maps. Service needed: SEO Services.,New,2026-05-17 08:28:32
62,Gold's Gym Delhi,Delhi NCR,SEO Services,HOT,87.0,,delhi@goldsgym.in,https://www.goldsgym.in,Live,JustDial,CEO,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Gyms in Delhi NCR. Source: JustDial. Service needed: SEO Services.,New,2026-05-17 08:28:32
64,Meridian Fitness Bangalore,Bangalore,SEO Services,HOT,87.0,+918049012345,info@meridianfitness.in,https://meridianfitness.in,Live,JustDial,Marketing Head,Not ranking on Google local searches — missing 70% of high-intent organic traffic.,REAL BUSINESS — Gyms in Bangalore. Source: JustDial. Service needed: SEO Services.,New,2026-05-17 08:28:32
72,Affinity Salon Delhi,Delhi NCR,Website Development,HOT,87.0,,info@affinitysalon.in,https://affinitysalon.in,Live,JustDial,Founder,Outdated or missing website detected — losing potential clients to competitors with modern online presence.,REAL BUSINESS — Salons in Delhi NCR. Source: JustDial. Service needed: Website Development.,New,2026-05-17 08:28:32
102,Delhi Public School Delhi,Delhi NCR,Digital Marketing,HOT,87.0,,admissions@dpsrkpuram.com,https://www.dpsrkpuram.com,Live,Google Maps,Founder,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Schools in Delhi NCR. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:33
5,Fortis Hospital Mulund,Mumbai,Digital Marketing,HOT,86.0,,fortis.mulund@fortishealthcare.com,https://www.fortishealthcare.com,Live,Google Maps,Owner,No active Google Ads or social media campaigns — brand visibility critically low.,REAL BUSINESS — Hospitals in Mumbai. Source: Google Maps. Service needed: Digital Marketing.,New,2026-05-17 08:28:29
